deliverable_id,deliverable,status,implementation
M1-01,PLATFORM_ARCHITECTURE_DOCUMENT,FROZEN_IN_CHARTER,False
M1-02,MODULE_DEPENDENCY_MAP,FROZEN_IN_CHARTER,False
M1-03,CANONICAL_DOMAIN_MODEL,FROZEN_IN_CHARTER,False
M1-04,DATA_LINEAGE_SPEC,FROZEN_IN_CHARTER,False
M1-05,STRATEGY_EVIDENCE_REGISTRY_SPEC,FROZEN_IN_CHARTER,False
M1-06,PORTFOLIO_OS_DOMAIN_MODEL,FROZEN_IN_CHARTER,False
M1-07,SHADOW_MODE_GOVERNANCE_SPEC,FROZEN_IN_CHARTER,False
M1-08,BROKER_ABSTRACTION_CONTRACT,FROZEN_IN_CHARTER,False
M1-09,REAL_TIME_ENGINE_DESIGN,FROZEN_IN_CHARTER,False
M1-10,UI_INFORMATION_ARCHITECTURE,FROZEN_IN_CHARTER,False
M1-11,MONTH_2_BACKLOG_CATEGORIES,FROZEN_IN_CHARTER,False
