scope_type,scope_id,scope,priority,implementation_started
PLANNED_MODULE,A,RESEARCH_WORKBENCH,P0,False
PLANNED_MODULE,B,PORTFOLIO_OS_FOUNDATION,P0,False
PLANNED_MODULE,C,DATA_LINEAGE_PROVENANCE,P0,False
PLANNED_MODULE,D,STRATEGY_EVIDENCE_REGISTRY,P0,False
PLANNED_MODULE,E,PORTFOLIO_RISK_ANALYTICS,P1,False
PLANNED_MODULE,F,SHADOW_OBSERVATION_FRAMEWORK_DESIGN,P1,False
PLANNED_MODULE,G,BROKER_ABSTRACTION_DESIGN,P2,False
PLANNED_MODULE,H,DATA_INGESTION_OBSERVABILITY,P1,False
PLANNED_MODULE,I,GOVERNANCE_AUDIT_UI,P1,False
PLANNED_MODULE,J,ALERT_MONITORING_FOUNDATION,P2,False
DEFERRED_CAPABILITY,LIVE_AUTOMATED_EXECUTION,LIVE_AUTOMATED_EXECUTION,DEFERRED,False
DEFERRED_CAPABILITY,PAPER_TRADING_DEPLOYMENT_REHEARSAL,PAPER_TRADING_DEPLOYMENT_REHEARSAL,DEFERRED,False
DEFERRED_CAPABILITY,FAMILY_H,FAMILY_H,DEFERRED,False
DEFERRED_CAPABILITY,STRATEGY_V2,STRATEGY_V2,DEFERRED,False
DEFERRED_CAPABILITY,NEW_STRATEGY_RESEARCH,NEW_STRATEGY_RESEARCH,DEFERRED,False
DEFERRED_CAPABILITY,FAMILY_D_FULL_INTRADAY_ACQUISITION,FAMILY_D_FULL_INTRADAY_ACQUISITION,DEFERRED,False
DEFERRED_CAPABILITY,FAMILY_F_CATALYST_ACQUISITION,FAMILY_F_CATALYST_ACQUISITION,DEFERRED,False
DEFERRED_CAPABILITY,BROKER_ORDER_PLACEMENT_AUTOMATION,BROKER_ORDER_PLACEMENT_AUTOMATION,DEFERRED,False
DEFERRED_CAPABILITY,AI_AUTONOMOUS_STRATEGY_SELECTION,AI_AUTONOMOUS_STRATEGY_SELECTION,DEFERRED,False
