index_name,company_name_original,company_name_normalized,symbol,isin,event_type,announced_date,effective_date,source_document,source_reference,mapping_method,mapping_confidence,extraction_confidence,review_status,notes
NIFTY 500,Gland Pharma Ltd.,GLAND PHARMA,GLAND,INE068V01023,ADDED,2021-06-15,2021-06-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15062021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15062021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,"Replacements in Indices w.e.f. June 30, 2021"
NIFTY 500,Motherson Sumi Systems Ltd.,MOTHERSON SUMI SYSTEMS,MOTHERSUMI,,REMOVED,2021-06-15,2021-06-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15062021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15062021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,"Replacements in Indices w.e.f. June 30, 2021"
NIFTY 500,Anupam Rasayan India Ltd.,ANUPAM RASAYAN INDIA,ANURAS,INE930P01018,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,CG Power and Industrial Solutions Ltd.,CG POWER AND INDUSTRIAL SOLUTIONS,CGPOWER,INE067A01029,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Equitas Small Finance Bank Ltd.,EQUITAS SMALL FINANCE BANK,EQUITASBNK,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Fertilisers and Chemicals Travancore Ltd.,FERTILISERS AND CHEMICALS TRAVANCORE,FACT,INE188A01015,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Hathway Cable & Datacom Ltd.,HATHWAY CABLE AND DATACOM,HATHWAY,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Hinduja Global Solutions Ltd.,HINDUJA GLOBAL SOLUTIONS,HGS,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Hikal Ltd.,HIKAL,HIKAL,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Home First Finance Company India Ltd.,HOME FIRST FINANCE COMPANY INDIA,HOMEFIRST,INE481N01025,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Indigo Paints Ltd.,INDIGO PAINTS,INDIGOPNTS,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Indian Railway Finance Corporation Ltd.,INDIAN RAILWAY FINANCE CORPORATION,IRFC,INE053F01010,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Jubilant Ingrevia Ltd.,JUBILANT INGREVIA,JUBLINGREA,INE0BY001018,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
