index_name,symbol,isin,valid_from,valid_to,reconstruction_method,source_confidence,provenance
NIFTY 500,360ONE,INE466L01038,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,3MINDIA,INE470A01017,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,AADHARHFC,INE883F01010,2024-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,AARTIDRUGS,,2021-09-30,2024-03-27,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf
NIFTY 500,AARTIIND,INE769A01020,2021-09-30,2022-05-03,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,https://www.niftyindices.com/Press_Release/ind_prs05042022.pdf
NIFTY 500,AARTIIND,INE769A01020,2023-03-31,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,AAVAS,INE216P01012,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABB,INE117A01022,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABBOTINDIA,INE358A01014,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABCAPITAL,INE674K01013,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABDL,INE552Z01027,2026-03-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABFRL,INE647O01011,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABLBL,INE14LE01019,2025-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABREL,INE055A01016,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ABSLAMC,INE404A01024,2022-03-31,2023-03-30,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,https://www.niftyindices.com/Press_Release/ind_prs17022023_1.pdf
NIFTY 500,ABSLAMC,INE404A01024,2024-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ACC,INE012A01025,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ACE,INE731H01025,2024-03-28,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ACI,,2023-03-31,2025-03-27,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,https://www.niftyindices.com/Press_Release/ind_prs21022025.pdf
NIFTY 500,ACMESOLAR,INE622W01025,2025-03-28,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ACUTAAS,INE00FF01025,2026-03-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
NIFTY 500,ADANIENSOL,INE931S01010,2021-09-30,2026-09-07,BACKWARD_RECONSTRUCTED_FROM_CURRENT_SNAPSHOT,OFFICIAL_EVENTS_PARTIAL,current_snapshot
