trading_symbol,company_name,isin,sector,industry,index_name,source,source_date,active_current_member
360ONE,360 ONE WAM Ltd.,INE466L01038,,Financial Services,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
3MINDIA,3M India Ltd.,INE470A01017,,Diversified,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ABB,ABB India Ltd.,INE117A01022,,Capital Goods,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ACC,ACC Ltd.,INE012A01025,,Construction Materials,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ACMESOLAR,ACME Solar Holdings Ltd.,INE622W01025,,Power,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
AIAENG,AIA Engineering Ltd.,INE212H01026,,Capital Goods,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
APLAPOLLO,APL Apollo Tubes Ltd.,INE702C01027,,Capital Goods,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
AUBANK,AU Small Finance Bank Ltd.,INE949L01017,,Financial Services,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
AWL,AWL Agri Business Ltd.,INE699H01024,,Fast Moving Consumer Goods,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
AADHARHFC,Aadhar Housing Finance Ltd.,INE883F01010,,Financial Services,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
AARTIIND,Aarti Industries Ltd.,INE769A01020,,Chemicals,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
AAVAS,Aavas Financiers Ltd.,INE216P01012,,Financial Services,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ABBOTINDIA,Abbott India Ltd.,INE358A01014,,Healthcare,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ACE,Action Construction Equipment Ltd.,INE731H01025,,Capital Goods,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ACUTAAS,Acutaas Chemicals Ltd.,INE00FF01025,,Healthcare,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ADANIENSOL,Adani Energy Solutions Ltd.,INE931S01010,,Power,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ADANIENT,Adani Enterprises Ltd.,INE423A01024,,Metals & Mining,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ADANIGREEN,Adani Green Energy Ltd.,INE364U01010,,Power,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,INE742F01042,,Services,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ADANIPOWER,Adani Power Ltd.,INE814H01029,,Power,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ATGL,Adani Total Gas Ltd.,INE399L01023,,Oil Gas & Consumable Fuels,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ABCAPITAL,Aditya Birla Capital Ltd.,INE674K01013,,Financial Services,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
ABFRL,Aditya Birla Fashion and Retail Ltd.,INE647O01011,,Consumer Services,NIFTY 500,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,2026-09-07,True
