nse_symbol,company_name,isin,groww_symbol,exchange,segment,instrument_type,mapping_status,mapping_reason,groww_name,series
360ONE,360 ONE WAM Ltd.,INE466L01038,NSE-360ONE,NSE,CASH,EQ,MATCHED,isin_exact,360 One Wam,EQ
3MINDIA,3M India Ltd.,INE470A01017,NSE-3MINDIA,NSE,CASH,EQ,MATCHED,isin_exact,3M India,EQ
ABB,ABB India Ltd.,INE117A01022,NSE-ABB,NSE,CASH,EQ,MATCHED,isin_exact,ABB India,EQ
ACC,ACC Ltd.,INE012A01025,NSE-ACC,NSE,CASH,EQ,MATCHED,isin_exact,ACC,EQ
ACMESOLAR,ACME Solar Holdings Ltd.,INE622W01025,NSE-ACMESOLAR,NSE,CASH,EQ,MATCHED,isin_exact,Acme Solar Holdings,EQ
AIAENG,AIA Engineering Ltd.,INE212H01026,NSE-AIAENG,NSE,CASH,EQ,MATCHED,isin_exact,AIA Engineering,EQ
APLAPOLLO,APL Apollo Tubes Ltd.,INE702C01027,NSE-APLAPOLLO,NSE,CASH,EQ,MATCHED,isin_exact,APL Apollo Tubes,EQ
AUBANK,AU Small Finance Bank Ltd.,INE949L01017,NSE-AUBANK,NSE,CASH,EQ,MATCHED,isin_exact,AU Small Fin. Bank,EQ
AWL,AWL Agri Business Ltd.,INE699H01024,NSE-AWL,NSE,CASH,EQ,MATCHED,isin_exact,AWL Agri Business,EQ
AADHARHFC,Aadhar Housing Finance Ltd.,INE883F01010,NSE-AADHARHFC,NSE,CASH,EQ,MATCHED,isin_exact,Aadhar Housing Fin.,EQ
AARTIIND,Aarti Industries Ltd.,INE769A01020,NSE-AARTIIND,NSE,CASH,EQ,MATCHED,isin_exact,Aarti Industries,EQ
AAVAS,Aavas Financiers Ltd.,INE216P01012,NSE-AAVAS,NSE,CASH,EQ,MATCHED,isin_exact,Aavas Financiers,EQ
ABBOTINDIA,Abbott India Ltd.,INE358A01014,NSE-ABBOTINDIA,NSE,CASH,EQ,MATCHED,isin_exact,Abbott India,EQ
ACE,Action Construction Equipment Ltd.,INE731H01025,NSE-ACE,NSE,CASH,EQ,MATCHED,isin_exact,Action Const Equip,EQ
ACUTAAS,Acutaas Chemicals Ltd.,INE00FF01025,NSE-ACUTAAS,NSE,CASH,EQ,MATCHED,isin_exact,Acutaas Chemicals,EQ
ADANIENSOL,Adani Energy Solutions Ltd.,INE931S01010,NSE-ADANIENSOL,NSE,CASH,EQ,MATCHED,isin_exact,Adani Energy Solut.,EQ
ADANIENT,Adani Enterprises Ltd.,INE423A01024,NSE-ADANIENT,NSE,CASH,EQ,MATCHED,isin_exact,Adani Enterprises,EQ
ADANIGREEN,Adani Green Energy Ltd.,INE364U01010,NSE-ADANIGREEN,NSE,CASH,EQ,MATCHED,isin_exact,Adani Green Energy,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,INE742F01042,NSE-ADANIPORTS,NSE,CASH,EQ,MATCHED,isin_exact,Adani Ports &Special,EQ
ADANIPOWER,Adani Power Ltd.,INE814H01029,NSE-ADANIPOWER,NSE,CASH,EQ,MATCHED,isin_exact,Adani Power,EQ
ATGL,Adani Total Gas Ltd.,INE399L01023,NSE-ATGL,NSE,CASH,EQ,MATCHED,isin_exact,Adani Total Gas,EQ
ABCAPITAL,Aditya Birla Capital Ltd.,INE674K01013,NSE-ABCAPITAL,NSE,CASH,EQ,MATCHED,isin_exact,Aditya Birla Cap,EQ
ABFRL,Aditya Birla Fashion and Retail Ltd.,INE647O01011,NSE-ABFRL,NSE,CASH,EQ,MATCHED,isin_exact,ABFRL,EQ
ABLBL,Aditya Birla Lifestyle Brands Ltd.,INE14LE01019,NSE-ABLBL,NSE,CASH,EQ,MATCHED,isin_exact,Aditya Birla Life,EQ
ABREL,Aditya Birla Real Estate Ltd.,INE055A01016,NSE-ABREL,NSE,CASH,EQ,MATCHED,isin_exact,Aditya Birla Real,EQ
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,INE404A01024,NSE-ABSLAMC,NSE,CASH,EQ,MATCHED,isin_exact,Aditya Birla Sun AMC,EQ
CPPLUS,Aditya Infotech Ltd.,INE819V01029,NSE-CPPLUS,NSE,CASH,EQ,MATCHED,isin_exact,Aditya Infotech,EQ
AEGISLOG,Aegis Logistics Ltd.,INE208C01025,NSE-AEGISLOG,NSE,CASH,EQ,MATCHED,isin_exact,Aegis Logistics,EQ
AEGISVOPAK,Aegis Vopak Terminals Ltd.,INE0INX01018,NSE-AEGISVOPAK,NSE,CASH,EQ,MATCHED,isin_exact,Aegis Vopak Terminal,EQ
AFCONS,Afcons Infrastructure Ltd.,INE101I01011,NSE-AFCONS,NSE,CASH,EQ,MATCHED,isin_exact,Afcons Infrastruct.,EQ
AFFLE,Affle 3i Ltd.,INE00WC01027,NSE-AFFLE,NSE,CASH,EQ,MATCHED,isin_exact,Affle 3i,EQ
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,INE031B01049,NSE-AJANTPHARM,NSE,CASH,EQ,MATCHED,isin_exact,Ajanta Pharma,EQ
ALKEM,Alkem Laboratories Ltd.,INE540L01014,NSE-ALKEM,NSE,CASH,EQ,MATCHED,isin_exact,Alkem Laboratories,EQ
ABDL,Allied Blenders and Distillers Ltd.,INE552Z01027,NSE-ABDL,NSE,CASH,EQ,MATCHED,isin_exact,Allied Blenders&Dist,EQ
ARE&M,Amara Raja Energy & Mobility Ltd.,INE885A01032,NSE-ARE&M,NSE,CASH,EQ,MATCHED,isin_exact,Amara Raja Energy,EQ
AMBER,Amber Enterprises India Ltd.,INE371P01015,NSE-AMBER,NSE,CASH,EQ,MATCHED,isin_exact,Amber Enterprises,EQ
AMBUJACEM,Ambuja Cements Ltd.,INE079A01024,NSE-AMBUJACEM,NSE,CASH,EQ,MATCHED,isin_exact,Ambuja Cements,EQ
ANANDRATHI,Anand Rathi Wealth Ltd.,INE463V01026,NSE-ANANDRATHI,NSE,CASH,EQ,MATCHED,isin_exact,Anand Rathi Weal,EQ
ANANTRAJ,Anant Raj Ltd.,INE242C01024,NSE-ANANTRAJ,NSE,CASH,EQ,MATCHED,isin_exact,Anant Raj,EQ
ANGELONE,Angel One Ltd.,INE732I01021,NSE-ANGELONE,NSE,CASH,EQ,MATCHED,isin_exact,Angel One,EQ
ANTHEM,Anthem Biosciences Ltd.,INE0CZ201020,NSE-ANTHEM,NSE,CASH,EQ,MATCHED,isin_exact,Anthem Biosciences,EQ
ANURAS,Anupam Rasayan India Ltd.,INE930P01018,NSE-ANURAS,NSE,CASH,EQ,MATCHED,isin_exact,Anupam Rasayan,EQ
APARINDS,Apar Industries Ltd.,INE372A01015,NSE-APARINDS,NSE,CASH,EQ,MATCHED,isin_exact,Apar Industries,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,INE437A01024,NSE-APOLLOHOSP,NSE,CASH,EQ,MATCHED,isin_exact,Apollo Hospitals,EQ
APOLLOTYRE,Apollo Tyres Ltd.,INE438A01022,NSE-APOLLOTYRE,NSE,CASH,EQ,MATCHED,isin_exact,Apollo Tyres,EQ
APTUS,Aptus Value Housing Finance India Ltd.,INE852O01025,NSE-APTUS,NSE,CASH,EQ,MATCHED,isin_exact,Aptus Value Housing,EQ
ASAHIINDIA,Asahi India Glass Ltd.,INE439A01020,NSE-ASAHIINDIA,NSE,CASH,EQ,MATCHED,isin_exact,Asahi India Glass,EQ
ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,NSE-ASHOKLEY,NSE,CASH,EQ,MATCHED,isin_exact,Ashok Leyland,EQ
ASIANPAINT,Asian Paints Ltd.,INE021A01026,NSE-ASIANPAINT,NSE,CASH,EQ,MATCHED,isin_exact,Asian Paints,EQ
ASTERDM,Aster DM Quality Care Ltd.,INE914M01019,NSE-ASTERDM,NSE,CASH,EQ,MATCHED,isin_exact,Aster DM Quality,EQ
ASTRAL,Astral Ltd.,INE006I01046,NSE-ASTRAL,NSE,CASH,EQ,MATCHED,isin_exact,Astral,EQ
ATHERENERG,Ather Energy Ltd.,INE0LEZ01016,NSE-ATHERENERG,NSE,CASH,EQ,MATCHED,isin_exact,Ather Energy,EQ
ATUL,Atul Ltd.,INE100A01010,NSE-ATUL,NSE,CASH,EQ,MATCHED,isin_exact,Atul,EQ
AUROPHARMA,Aurobindo Pharma Ltd.,INE406A01037,NSE-AUROPHARMA,NSE,CASH,EQ,MATCHED,isin_exact,Aurobindo Pharma,EQ
AIIL,Authum Investment & Infrastructure Ltd.,INE206F01022,NSE-AIIL,NSE,CASH,EQ,MATCHED,isin_exact,Authum Invstmnt,EQ
DMART,Avenue Supermarts Ltd.,INE192R01011,NSE-DMART,NSE,CASH,EQ,MATCHED,isin_exact,Avenue Supermarts,EQ
AXISBANK,Axis Bank Ltd.,INE238A01034,NSE-AXISBANK,NSE,CASH,EQ,MATCHED,isin_exact,Axis Bank,EQ
BEML,BEML Ltd.,INE258A01024,NSE-BEML,NSE,CASH,EQ,MATCHED,isin_exact,BEML,EQ
BLS,BLS International Services Ltd.,INE153T01027,NSE-BLS,NSE,CASH,EQ,MATCHED,isin_exact,BLS Internatl. Serv.,EQ
BSE,BSE Ltd.,INE118H01025,NSE-BSE,NSE,CASH,EQ,MATCHED,isin_exact,BSE,EQ
BAJAJ-AUTO,Bajaj Auto Ltd.,INE917I01010,NSE-BAJAJ-AUTO,NSE,CASH,EQ,MATCHED,isin_exact,Bajaj Auto,EQ
BAJFINANCE,Bajaj Finance Ltd.,INE296A01032,NSE-BAJFINANCE,NSE,CASH,EQ,MATCHED,isin_exact,Bajaj Finance,EQ
BAJAJFINSV,Bajaj Finserv Ltd.,INE918I01026,NSE-BAJAJFINSV,NSE,CASH,EQ,MATCHED,isin_exact,Bajaj Finserv,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,INE118A01012,NSE-BAJAJHLDNG,NSE,CASH,EQ,MATCHED,isin_exact,Bajaj Hold & Invest.,EQ
BAJAJHFL,Bajaj Housing Finance Ltd.,INE377Y01014,NSE-BAJAJHFL,NSE,CASH,EQ,MATCHED,isin_exact,Bajaj Housing Fin.,EQ
BALKRISIND,Balkrishna Industries Ltd.,INE787D01026,NSE-BALKRISIND,NSE,CASH,EQ,MATCHED,isin_exact,Balkrishna Inds.,EQ
BALRAMCHIN,Balrampur Chini Mills Ltd.,INE119A01028,NSE-BALRAMCHIN,NSE,CASH,EQ,MATCHED,isin_exact,Balrampur Chini Mill,EQ
BANDHANBNK,Bandhan Bank Ltd.,INE545U01014,NSE-BANDHANBNK,NSE,CASH,EQ,MATCHED,isin_exact,Bandhan Bank,EQ
BANKBARODA,Bank of Baroda,INE028A01039,NSE-BANKBARODA,NSE,CASH,EQ,MATCHED,isin_exact,Bank of Baroda,EQ
BANKINDIA,Bank of India,INE084A01016,NSE-BANKINDIA,NSE,CASH,EQ,MATCHED,isin_exact,Bank Of India,EQ
MAHABANK,Bank of Maharashtra,INE457A01014,NSE-MAHABANK,NSE,CASH,EQ,MATCHED,isin_exact,Bank of Maharashtra,EQ
BATAINDIA,Bata India Ltd.,INE176A01028,NSE-BATAINDIA,NSE,CASH,EQ,MATCHED,isin_exact,Bata india,EQ
BAYERCROP,Bayer Cropscience Ltd.,INE462A01022,NSE-BAYERCROP,NSE,CASH,EQ,MATCHED,isin_exact,Bayer CropScience,EQ
BELRISE,Belrise Industries Ltd.,INE894V01022,NSE-BELRISE,NSE,CASH,EQ,MATCHED,isin_exact,Belrise Industries,EQ
BERGEPAINT,Berger Paints India Ltd.,INE463A01038,NSE-BERGEPAINT,NSE,CASH,EQ,MATCHED,isin_exact,Berger Paints India,EQ
BDL,Bharat Dynamics Ltd.,INE171Z01026,NSE-BDL,NSE,CASH,EQ,MATCHED,isin_exact,Bharat Dynamics,EQ
BEL,Bharat Electronics Ltd.,INE263A01024,NSE-BEL,NSE,CASH,EQ,MATCHED,isin_exact,Bharat Electronics,EQ
BHARATFORG,Bharat Forge Ltd.,INE465A01025,NSE-BHARATFORG,NSE,CASH,EQ,MATCHED,isin_exact,Bharat Forge,EQ
BHEL,Bharat Heavy Electricals Ltd.,INE257A01026,NSE-BHEL,NSE,CASH,EQ,MATCHED,isin_exact,Bharat Heavy Elect.,EQ
BPCL,Bharat Petroleum Corporation Ltd.,INE029A01011,NSE-BPCL,NSE,CASH,EQ,MATCHED,isin_exact,Bharat PetroleumCorp,EQ
BHARTIARTL,Bharti Airtel Ltd.,INE397D01024,NSE-BHARTIARTL,NSE,CASH,EQ,MATCHED,isin_exact,Bharti Airtel,EQ
BHARTIHEXA,Bharti Hexacom Ltd.,INE343G01021,NSE-BHARTIHEXA,NSE,CASH,EQ,MATCHED,isin_exact,Bharti Hexacom,EQ
BIKAJI,Bikaji Foods International Ltd.,INE00E101023,NSE-BIKAJI,NSE,CASH,EQ,MATCHED,isin_exact,Bikaji Foods Inter.,EQ
GROWW,Billionbrains Garage Ventures Ltd.,INE0HOQ01053,NSE-GROWW,NSE,CASH,EQ,MATCHED,isin_exact,Groww,EQ
BIOCON,Biocon Ltd.,INE376G01013,NSE-BIOCON,NSE,CASH,EQ,MATCHED,isin_exact,Biocon,EQ
BSOFT,Birlasoft Ltd.,INE836A01035,NSE-BSOFT,NSE,CASH,EQ,MATCHED,isin_exact,Birlasoft,EQ
BLUEDART,Blue Dart Express Ltd.,INE233B01017,NSE-BLUEDART,NSE,CASH,EQ,MATCHED,isin_exact,Blue Dart Express,EQ
BLUEJET,Blue Jet Healthcare Ltd.,INE0KBH01020,NSE-BLUEJET,NSE,CASH,EQ,MATCHED,isin_exact,Blue Jet Healthcare,EQ
BLUESTARCO,Blue Star Ltd.,INE472A01039,NSE-BLUESTARCO,NSE,CASH,EQ,MATCHED,isin_exact,Blue Star,EQ
BBTC,Bombay Burmah Trading Corporation Ltd.,INE050A01025,NSE-BBTC,NSE,CASH,EQ,MATCHED,isin_exact,Bombay Burmah Trdg.,EQ
BOSCHLTD,Bosch Ltd.,INE323A01026,NSE-BOSCHLTD,NSE,CASH,EQ,MATCHED,isin_exact,Bosch,EQ
FIRSTCRY,Brainbees Solutions Ltd.,INE02RE01045,NSE-FIRSTCRY,NSE,CASH,EQ,MATCHED,isin_exact,Brainbees Solutions,EQ
BRIGADE,Brigade Enterprises Ltd.,INE791I01019,NSE-BRIGADE,NSE,CASH,EQ,MATCHED,isin_exact,Brigade Enterprises,EQ
BRITANNIA,Britannia Industries Ltd.,INE216A01030,NSE-BRITANNIA,NSE,CASH,EQ,MATCHED,isin_exact,Britannia Industries,EQ
MAPMYINDIA,C.E. Info Systems Ltd.,INE0BV301023,NSE-MAPMYINDIA,NSE,CASH,EQ,MATCHED,isin_exact,CE Info Systems,EQ
CCL,CCL Products (I) Ltd.,INE421D01022,NSE-CCL,NSE,CASH,EQ,MATCHED,isin_exact,CCL Products India,EQ
CESC,CESC Ltd.,INE486A01021,NSE-CESC,NSE,CASH,EQ,MATCHED,isin_exact,CESC,EQ
CGPOWER,CG Power and Industrial Solutions Ltd.,INE067A01029,NSE-CGPOWER,NSE,CASH,EQ,MATCHED,isin_exact,CG Power & Ind.Sol.,EQ
CIEINDIA,CIE Automotive India Ltd.,INE536H01010,NSE-CIEINDIA,NSE,CASH,EQ,MATCHED,isin_exact,CIE Automotive India,EQ
CRISIL,CRISIL Ltd.,INE007A01025,NSE-CRISIL,NSE,CASH,EQ,MATCHED,isin_exact,CRISIL,EQ
CANFINHOME,Can Fin Homes Ltd.,INE477A01020,NSE-CANFINHOME,NSE,CASH,EQ,MATCHED,isin_exact,Can Fin Homes,EQ
CANBK,Canara Bank,INE476A01022,NSE-CANBK,NSE,CASH,EQ,MATCHED,isin_exact,Canara Bank,EQ
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,INE01TY01017,NSE-CANHLIFE,NSE,CASH,EQ,MATCHED,isin_exact,Canara HSBC Life Ins,EQ
CAPLIPOINT,Caplin Point Laboratories Ltd.,INE475E01026,NSE-CAPLIPOINT,NSE,CASH,EQ,MATCHED,isin_exact,Caplin Point Labs.,EQ
CGCL,Capri Global Capital Ltd.,INE180C01042,NSE-CGCL,NSE,CASH,EQ,MATCHED,isin_exact,Capri Global Capital,EQ
CARBORUNIV,Carborundum Universal Ltd.,INE120A01034,NSE-CARBORUNIV,NSE,CASH,EQ,MATCHED,isin_exact,Carborundum Univers.,EQ
CARTRADE,Cartrade Tech Ltd.,INE290S01011,NSE-CARTRADE,NSE,CASH,EQ,MATCHED,isin_exact,Cartrade Tech,EQ
CASTROLIND,Castrol India Ltd.,INE172A01027,NSE-CASTROLIND,NSE,CASH,EQ,MATCHED,isin_exact,Castrol India,EQ
CEATLTD,Ceat Ltd.,INE482A01020,NSE-CEATLTD,NSE,CASH,EQ,MATCHED,isin_exact,Ceat,EQ
CEMPRO,Cemindia Projects Ltd.,INE686A01026,NSE-CEMPRO,NSE,CASH,EQ,MATCHED,isin_exact,Cemindia Projects,EQ
CENTRALBK,Central Bank of India,INE483A01010,NSE-CENTRALBK,NSE,CASH,EQ,MATCHED,isin_exact,Central Bank of India,EQ
CDSL,Central Depository Services (India) Ltd.,INE736A01011,NSE-CDSL,NSE,CASH,EQ,MATCHED,isin_exact,Central Dep. Service,EQ
CHALET,Chalet Hotels Ltd.,INE427F01016,NSE-CHALET,NSE,CASH,EQ,MATCHED,isin_exact,Chalet Hotels,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,INE085A01013,NSE-CHAMBLFERT,NSE,CASH,EQ,MATCHED,isin_exact,Chambal Fer. & Chem.,EQ
CHENNPETRO,Chennai Petroleum Corporation Ltd.,INE178A01016,NSE-CHENNPETRO,NSE,CASH,EQ,MATCHED,isin_exact,Chennai Petro Corp,EQ
CHOICEIN,Choice International Ltd.,INE102B01014,NSE-CHOICEIN,NSE,CASH,EQ,MATCHED,isin_exact,Choice Intl,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,INE149A01033,NSE-CHOLAHLDNG,NSE,CASH,EQ,MATCHED,isin_exact,Cholamandalam Fin.,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,INE121A01024,NSE-CHOLAFIN,NSE,CASH,EQ,MATCHED,isin_exact,Cholamandalam Invest,EQ
CIPLA,Cipla Ltd.,INE059A01026,NSE-CIPLA,NSE,CASH,EQ,MATCHED,isin_exact,Cipla,EQ
CUB,City Union Bank Ltd.,INE491A01021,NSE-CUB,NSE,CASH,EQ,MATCHED,isin_exact,City Union Bank,EQ
CLEAN,Clean Science and Technology Ltd.,INE227W01023,NSE-CLEAN,NSE,CASH,EQ,MATCHED,isin_exact,Clean Science & Tech,EQ
COALINDIA,Coal India Ltd.,INE522F01014,NSE-COALINDIA,NSE,CASH,EQ,MATCHED,isin_exact,Coal India,EQ
COCHINSHIP,Cochin Shipyard Ltd.,INE704P01025,NSE-COCHINSHIP,NSE,CASH,EQ,MATCHED,isin_exact,Cochin Shipyard,EQ
COFORGE,Coforge Ltd.,INE591G01025,NSE-COFORGE,NSE,CASH,EQ,MATCHED,isin_exact,Coforge,EQ
COHANCE,Cohance Lifesciences Ltd.,INE03QK01018,NSE-COHANCE,NSE,CASH,EQ,MATCHED,isin_exact,Cohance Lifesciences,EQ
COLPAL,Colgate Palmolive (India) Ltd.,INE259A01022,NSE-COLPAL,NSE,CASH,EQ,MATCHED,isin_exact,Colgate-Palmolive(I),EQ
CAMS,Computer Age Management Services Ltd.,INE596I01020,NSE-CAMS,NSE,CASH,EQ,MATCHED,isin_exact,Computer Age Mgmnt.,EQ
CONCORDBIO,Concord Biotech Ltd.,INE338H01029,NSE-CONCORDBIO,NSE,CASH,EQ,MATCHED,isin_exact,Concord Biotech,EQ
CONCOR,Container Corporation of India Ltd.,INE111A01025,NSE-CONCOR,NSE,CASH,EQ,MATCHED,isin_exact,Container Corporat.,EQ
COROMANDEL,Coromandel International Ltd.,INE169A01031,NSE-COROMANDEL,NSE,CASH,EQ,MATCHED,isin_exact,Coromandel Intl,EQ
CRAFTSMAN,Craftsman Automation Ltd.,INE00LO01017,NSE-CRAFTSMAN,NSE,CASH,EQ,MATCHED,isin_exact,Craftsman Automation,EQ
CREDITACC,CreditAccess Grameen Ltd.,INE741K01010,NSE-CREDITACC,NSE,CASH,EQ,MATCHED,isin_exact,CreditAccess Grameen,EQ
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,INE299U01018,NSE-CROMPTON,NSE,CASH,EQ,MATCHED,isin_exact,Crompton Greaves,EQ
CUMMINSIND,Cummins India Ltd.,INE298A01020,NSE-CUMMINSIND,NSE,CASH,EQ,MATCHED,isin_exact,Cummins India,EQ
CYIENT,Cyient Ltd.,INE136B01020,NSE-CYIENT,NSE,CASH,EQ,MATCHED,isin_exact,Cyient,EQ
DCMSHRIRAM,DCM Shriram Ltd.,INE499A01024,NSE-DCMSHRIRAM,NSE,CASH,EQ,MATCHED,isin_exact,DCM Shriram,EQ
DLF,DLF Ltd.,INE271C01023,NSE-DLF,NSE,CASH,EQ,MATCHED,isin_exact,DLF,EQ
DOMS,DOMS Industries Ltd.,INE321T01012,NSE-DOMS,NSE,CASH,EQ,MATCHED,isin_exact,DOMS Industries,EQ
DABUR,Dabur India Ltd.,INE016A01026,NSE-DABUR,NSE,CASH,EQ,MATCHED,isin_exact,Dabur India,EQ
DALBHARAT,Dalmia Bharat Ltd.,INE00R701025,NSE-DALBHARAT,NSE,CASH,EQ,MATCHED,isin_exact,Dalmia Bharat,EQ
DATAPATTNS,Data Patterns (India) Ltd.,INE0IX101010,NSE-DATAPATTNS,NSE,CASH,EQ,MATCHED,isin_exact,Data Patterns (I),EQ
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,NSE-DEEPAKFERT,NSE,CASH,EQ,MATCHED,isin_exact,Deepak Fert & Petro,EQ
DEEPAKNTR,Deepak Nitrite Ltd.,INE288B01029,NSE-DEEPAKNTR,NSE,CASH,EQ,MATCHED,isin_exact,Deepak Nitrite,EQ
DELHIVERY,Delhivery Ltd.,INE148O01028,NSE-DELHIVERY,NSE,CASH,EQ,MATCHED,isin_exact,Delhivery,EQ
DEVYANI,Devyani International Ltd.,INE872J01023,NSE-DEVYANI,NSE,CASH,EQ,MATCHED,isin_exact,Devyani,EQ
DIVISLAB,Divi's Laboratories Ltd.,INE361B01024,NSE-DIVISLAB,NSE,CASH,EQ,MATCHED,isin_exact,Divi's Laboratories,EQ
DIXON,Dixon Technologies (India) Ltd.,INE935N01020,NSE-DIXON,NSE,CASH,EQ,MATCHED,isin_exact,Dixon Tech. (India),EQ
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,NSE-LALPATHLAB,NSE,CASH,EQ,MATCHED,isin_exact,Dr Lal PathLabs,EQ
DRREDDY,Dr. Reddy's Laboratories Ltd.,INE089A01031,NSE-DRREDDY,NSE,CASH,EQ,MATCHED,isin_exact,Dr. Reddy's Labs.,EQ
DUMMYHEG,Dummy HEG Ltd.,DUM545A01024,,NSE,,,NOT_FOUND,No Groww instrument matched by ISIN or exact NSE symbol.,,
EIDPARRY,E.I.D. Parry (India) Ltd.,INE126A01031,NSE-EIDPARRY,NSE,CASH,EQ,MATCHED,isin_exact,EID-Parry India,EQ
EIHOTEL,EIH Ltd.,INE230A01023,NSE-EIHOTEL,NSE,CASH,EQ,MATCHED,isin_exact,EIH,EQ
EICHERMOT,Eicher Motors Ltd.,INE066A01021,NSE-EICHERMOT,NSE,CASH,EQ,MATCHED,isin_exact,Eicher Motors,EQ
ELECON,Elecon Engineering Co. Ltd.,INE205B01031,NSE-ELECON,NSE,CASH,EQ,MATCHED,isin_exact,Elecon Engg. Co.,EQ
ELGIEQUIP,Elgi Equipments Ltd.,INE285A01027,NSE-ELGIEQUIP,NSE,CASH,EQ,MATCHED,isin_exact,Elgi Equipments,EQ
EMAMILTD,Emami Ltd.,INE548C01032,NSE-EMAMILTD,NSE,CASH,EQ,MATCHED,isin_exact,Emami,EQ
