trading_date,session_type,source_reference,source_available,notes
2021-09-07,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_07092021.csv,True,
2021-09-08,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_08092021.csv,True,
2021-09-09,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_09092021.csv,True,
2021-09-10,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_10092021.csv,False,Official file did not contain the requested trading date.
2021-09-11,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-09-12,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_12092021.csv,False,Official file did not contain the requested trading date.
2021-09-13,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_13092021.csv,True,
2021-09-14,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_14092021.csv,True,
2021-09-15,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_15092021.csv,True,
2021-09-16,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_16092021.csv,True,
2021-09-17,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_17092021.csv,True,
2021-09-18,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-09-19,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_19092021.csv,False,Official file did not contain the requested trading date.
2021-09-20,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_20092021.csv,True,
2021-09-21,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_21092021.csv,True,
2021-09-22,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_22092021.csv,True,
2021-09-23,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_23092021.csv,True,
2021-09-24,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_24092021.csv,True,
2021-09-25,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-09-26,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_26092021.csv,False,Official file did not contain the requested trading date.
2021-09-27,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_27092021.csv,True,
2021-09-28,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_28092021.csv,True,
2021-09-29,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_29092021.csv,True,
2021-09-30,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_30092021.csv,True,
2021-10-01,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_01102021.csv,True,
2021-10-02,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-10-03,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_03102021.csv,False,Official file did not contain the requested trading date.
2021-10-04,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_04102021.csv,True,
2021-10-05,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_05102021.csv,True,
2021-10-06,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_06102021.csv,True,
2021-10-07,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_07102021.csv,True,
2021-10-08,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_08102021.csv,True,
2021-10-09,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-10-10,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_10102021.csv,False,Official file did not contain the requested trading date.
2021-10-11,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_11102021.csv,True,
2021-10-12,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_12102021.csv,True,
2021-10-13,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_13102021.csv,True,
2021-10-14,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_14102021.csv,True,
2021-10-15,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_15102021.csv,False,Official file did not contain the requested trading date.
2021-10-16,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-10-17,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_17102021.csv,False,Official file did not contain the requested trading date.
2021-10-18,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_18102021.csv,True,
2021-10-19,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_19102021.csv,True,
2021-10-20,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_20102021.csv,True,
2021-10-21,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_21102021.csv,True,
2021-10-22,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_22102021.csv,True,
2021-10-23,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-10-24,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_24102021.csv,False,Official file did not contain the requested trading date.
2021-10-25,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_25102021.csv,True,
2021-10-26,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_26102021.csv,True,
2021-10-27,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_27102021.csv,True,
2021-10-28,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_28102021.csv,True,
2021-10-29,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_29102021.csv,True,
2021-10-30,UNKNOWN,,False,No official cash-market daily file found; treated as non-session.
2021-10-31,UNKNOWN,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_31102021.csv,False,Official file did not contain the requested trading date.
2021-11-01,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_01112021.csv,True,
2021-11-02,NORMAL,https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_02112021.csv,True,
