canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:360ONE:EQ,360ONE,2023-03-02,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-b57812059c48ae6a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:360ONE:EQ,360ONE,2023-03-02,BONUS,0.5,0.25,2,VERIFIED_OFFICIAL,nse-ca-bf0260c72fa101f0,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AAKASH:EQ,AAKASH,2022-02-03,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-bd83c7e3f10ff9b4,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AARON:EQ,AARON,2025-08-25,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-a07fa18c5c9b7021,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AARTECH:EQ,AARTECH,2024-08-09,BONUS,0.6666666666666666666666666667,0.6666666666666666666666666667,1.5,VERIFIED_OFFICIAL,nse-ca-40241591b059b628,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AARTECH:EQ,AARTECH,2024-08-09,STOCK_SPLIT,0.5,0.3333333333333333333333333334,2,VERIFIED_OFFICIAL,nse-ca-b83fbf3da8473b3b,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ABINFRA:EQ,ABINFRA,2025-10-17,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-bdad563619de1857,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ACCURACY:EQ,ACCURACY,2023-02-15,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-06c46ed0223e9407,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ACUTAAS:EQ,ACUTAAS,2025-04-25,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-4abe3287bb315873,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ADANIPOWER:EQ,ADANIPOWER,2025-09-22,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-6a1916d8f8a04998,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ADFFOODS:EQ,ADFFOODS,2023-09-11,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-f36745794954a95c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ADVANIHOTR:EQ,ADVANIHOTR,2024-03-20,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-68eaa345a89bacf2,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AFFLE:EQ,AFFLE,2021-10-07,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-e5992fdd8b826661,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AFIL:EQ,AFIL,2025-04-17,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-61a1831b1b53d471,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AGIIL:EQ,AGIIL,2025-02-07,STOCK_SPLIT,0.5,0.1,2,VERIFIED_OFFICIAL,nse-ca-a33bb1091a5b88c3,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AGIIL:EQ,AGIIL,2025-10-10,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-47da4929aa04291a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AHCL:EQ,AHCL,2026-04-24,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-0190a24be488bc38,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AHCL:EQ,AHCL,2026-04-24,STOCK_SPLIT,0.2,0.1,5,VERIFIED_OFFICIAL,nse-ca-60e45d47e0ab4819,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AHLEAST:EQ,AHLEAST,2022-10-06,BONUS,0.6666666666666666666666666667,0.6666666666666666666666666667,1.5,VERIFIED_OFFICIAL,nse-ca-84ca9f7a25c3b7ac,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AIIL:EQ,AIIL,2026-01-13,BONUS,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-45c3386007ba5b3c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AJANTPHARM:EQ,AJANTPHARM,2022-06-22,BONUS,0.6666666666666666666666666667,0.6666666666666666666666666667,1.5,VERIFIED_OFFICIAL,nse-ca-6e0796d43b2f8dec,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AJMERA:EQ,AJMERA,2026-01-14,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-4677808e65622809,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AJOONI:EQ,AJOONI,2022-10-07,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-0409fcaf764d99de,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AKI:EQ,AKI,2023-06-22,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-44f1990c9f25113f,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AKSHAR:EQ,AKSHAR,2023-07-31,STOCK_SPLIT,0.1,0.08333333333333333333333333333,10,VERIFIED_OFFICIAL,nse-ca-809838ab447d5ae3,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AKSHAR:EQ,AKSHAR,2024-02-15,BONUS,0.8333333333333333333333333333,0.8333333333333333333333333333,1.2,VERIFIED_OFFICIAL,nse-ca-8dc9db64e4d832df,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ALLCARGO:EQ,ALLCARGO,2024-01-02,BONUS,0.25,0.25,4,VERIFIED_OFFICIAL,nse-ca-2aa29e16c143afbd,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ALMONDZ:EQ,ALMONDZ,2024-07-23,STOCK_SPLIT,0.1666666666666666666666666667,0.1666666666666666666666666667,5.999999999999999999999999999,VERIFIED_OFFICIAL,nse-ca-8a3f10fadebbb9b2,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANANDRATHI:EQ,ANANDRATHI,2025-03-05,BONUS,0.5,0.25,2,VERIFIED_OFFICIAL,nse-ca-cba2de7a13496338,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANANDRATHI:EQ,ANANDRATHI,2026-06-03,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-d912a4a9a81f3a5d,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANDHRAPAP:EQ,ANDHRAPAP,2024-09-11,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-6ef6e2c282126335,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANDHRSUGAR:EQ,ANDHRSUGAR,2021-12-30,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-f3647bd2460e7da2,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANGELONE:EQ,ANGELONE,2026-02-26,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-f73c0e163ea9f85c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANMOL:EQ,ANMOL,2023-07-18,BONUS,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-7eeef6b4ccae0629,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANUHPHR:EQ,ANUHPHR,2025-07-15,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-b6c289eb47f9fee2,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ANUP:EQ,ANUP,2024-04-23,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-2652753ea407abcb,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:APLAPOLLO:EQ,APLAPOLLO,2021-09-16,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-b49b37a29dd09160,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:APOLLO:EQ,APOLLO,2023-05-04,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-d02a097148b74154,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:APOLLOPIPE:EQ,APOLLOPIPE,2021-12-02,BONUS,0.3333333333333333333333333333,0.3333333333333333333333333333,3,VERIFIED_OFFICIAL,nse-ca-1c064b2c2657a23e,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:APTECHT:EQ,APTECHT,2023-07-14,BONUS,0.7142857142857142857142857143,0.7142857142857142857142857143,1.4,VERIFIED_OFFICIAL,nse-ca-99db05054fcd5465,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AQYLON:EQ,AQYLON,2026-03-05,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-9d14ddab1b4764cb,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ARIHANTCAP:EQ,ARIHANTCAP,2022-04-12,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-f4535f5ae1ccaf65,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ARTEMISMED:EQ,ARTEMISMED,2021-09-23,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-e53de8d1ef148ce9,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ASHOKLEY:EQ,ASHOKLEY,2025-07-16,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-78f9a50f9420bf66,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ASTRAL:EQ,ASTRAL,2023-03-14,BONUS,0.75,0.75,1.333333333333333333333333333,VERIFIED_OFFICIAL,nse-ca-383ff230b27c7264,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ATALREAL:EQ,ATALREAL,2023-11-16,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-8c0a42e8a280522c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AUBANK:EQ,AUBANK,2022-06-09,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-57d7aae458baab91,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AURIGROW:EQ,AURIGROW,2022-01-20,BONUS,0.5,0.05,2,VERIFIED_OFFICIAL,nse-ca-c99d1849cf1c9819,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AURIGROW:EQ,AURIGROW,2022-03-24,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-a3a58c907a7bf82a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AURIONPRO:EQ,AURIONPRO,2024-06-27,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-72f23cf17c89dfbd,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AVONMORE:EQ,AVONMORE,2024-06-28,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-8a3fd6352e126376,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AVROIND:EQ,AVROIND,2026-05-05,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-9f1256da394c699b,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AXITA:EQ,AXITA,2022-10-21,STOCK_SPLIT,0.1,0.05113636363636363636363636364,10,VERIFIED_OFFICIAL,nse-ca-4f33d5660541fd11,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AXITA:EQ,AXITA,2023-12-22,BONUS,0.75,0.5113636363636363636363636364,1.333333333333333333333333333,VERIFIED_OFFICIAL,nse-ca-1bab1825c7ef6d8d,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AXITA:EQ,AXITA,2024-09-20,BONUS,0.75,0.6818181818181818181818181818,1.333333333333333333333333333,VERIFIED_OFFICIAL,nse-ca-7614236517a61267,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:AXITA:EQ,AXITA,2026-02-13,BONUS,0.9090909090909090909090909091,0.9090909090909090909090909091,1.1,VERIFIED_OFFICIAL,nse-ca-d3c860aead516967,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:BAJAJFINSV:EQ,BAJAJFINSV,2022-09-13,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-1ffab3a0a80257c1,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:BAJAJFINSV:EQ,BAJAJFINSV,2022-09-13,BONUS,0.5,0.1,2,VERIFIED_OFFICIAL,nse-ca-a1c443172cac2ec1,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:BAJFINANCE:EQ,BAJFINANCE,2025-06-16,BONUS,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-1e2630f69a3844b4,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
