event_id,exchange,symbol_at_event,canonical_symbol,isin,company_name,action_type,announcement_date,ex_date,record_date,effective_date,ratio_numerator,ratio_denominator,old_face_value,new_face_value,cash_amount,currency,source_type,source_reference,source_document,source_confidence,adjustment_required,adjustment_method,review_status,notes,created_at
nse-ca-8525aafb391ca974,NSE,74GS2035,74GS2035,,GOVERNMENT OF INDIA,OTHER,,2021-09-07,2021-09-08,2021-09-07,,,100,,,,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Interest Payment,2026-09-07T20:43:14.626327+00:00
nse-ca-8ab207f39dd4b5fa,NSE,AMDIND,AMDIND,,AMD Industries Limited,OTHER,,2021-09-07,,2021-09-07,,,10,,,,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Annual General Meeting,2026-09-07T20:43:14.626327+00:00
nse-ca-98745ca3e98c2d4d,NSE,APCL,APCL,,Anjani Portland Cement Limited,DIVIDEND,,2021-09-07,2021-09-08,2021-09-07,,,10,,5,INR,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Ordinary dividend; not applied to PRICE_ADJUSTED series.,2026-09-07T20:43:14.626327+00:00
nse-ca-ccaf7f011c01d337,NSE,APCL,APCL,,Anjani Portland Cement Limited,OTHER,,2021-09-07,,2021-09-07,,,10,,,,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Annual General Meeting,2026-09-07T20:43:14.626327+00:00
nse-ca-17d9e7d8604e399a,NSE,BEARDSELL,BEARDSELL,,Beardsell Limited,OTHER,,2021-09-07,,2021-09-07,,,2,,,,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Annual General Meeting,2026-09-07T20:43:14.626327+00:00
nse-ca-7bf88df1217d0c63,NSE,BEARDSELL,BEARDSELL,,Beardsell Limited,DIVIDEND,,2021-09-07,2021-09-08,2021-09-07,,,2,,0.1,INR,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Ordinary dividend; not applied to PRICE_ADJUSTED series.,2026-09-07T20:43:14.626327+00:00
nse-ca-635075dc1e2663d2,NSE,CGCL,CGCL,,Capri Global Capital Limited,DIVIDEND,,2021-09-07,2021-09-08,2021-09-07,,,1,,0.4,INR,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Ordinary dividend; not applied to PRICE_ADJUSTED series.,2026-09-07T20:43:14.626327+00:00
nse-ca-23c3474602b40e5a,NSE,COMPINFO,COMPINFO,,Compuage Infocom Limited,DIVIDEND,,2021-09-07,,2021-09-07,,,2,,0.2,INR,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Ordinary dividend; not applied to PRICE_ADJUSTED series.,2026-09-07T20:43:14.626327+00:00
nse-ca-03c1b948c0b869e3,NSE,COMPUSOFT,COMPUSOFT,,Compucom Software Limited,DIVIDEND,,2021-09-07,,2021-09-07,,,2,,0.3,INR,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Ordinary dividend; not applied to PRICE_ADJUSTED series.,2026-09-07T20:43:14.626327+00:00
nse-ca-5b0458e477c33747,NSE,CYBERTECH,CYBERTECH,,Cybertech Systems And Software Limited,DIVIDEND,,2021-09-07,,2021-09-07,,,10,,1,INR,official_nse_corporate_actions,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=07-09-2021&to_date=07-09-2026&csv=true,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nse\corporate_actions\raw\nse_corporate_actions_equities_20210907_20260907.csv,VERIFIED_OFFICIAL,False,INFORMATIONAL_ONLY,PARSED,Ordinary dividend; not applied to PRICE_ADJUSTED series.,2026-09-07T20:43:14.626327+00:00
