trading_date,sector_index_id,index_name,close,source,source_reference,coverage_start,coverage_end,methodology,sector_context_version
2025-11-07,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,18912.21,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-08-17_2025-11-14.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-10,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,18932.15,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-08-17_2025-11-14.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-11,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,18862.5,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-08-17_2025-11-14.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-12,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19006.65,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-08-17_2025-11-14.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-13,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19003.75,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-08-17_2025-11-14.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-14,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19049.2,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-08-17_2025-11-14.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-17,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19159.85,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-18,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,18995.4,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-19,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19046.2,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-20,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19038.65,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-21,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,18954,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-24,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,18871.55,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-25,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,18930.05,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-26,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19120.85,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-27,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19090,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
2025-11-28,NIFTY500_HEALTHCARE,NIFTY500 HEALTH,19158.95,NSE_OFFICIAL_HISTORICAL_OR_INDICES_HISTORY,https://www.nseindia.com/reports-indices-historical-index-data#NIFTY500_HEALTHCARE_2025-11-15_2026-02-12.json,2025-11-07,2026-09-07,OFFICIAL_NSE_SECTOR_INDEX_CLOSE_NO_FORWARD_FILL,SECTOR_CONTEXT_V1
