symbol,isin,sector_name,sector_index_id,valid_from,valid_to,mapping_source,mapping_status,confidence,notes
360ONE,INE466L01038,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
3MINDIA,INE470A01017,Diversified,,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,UNAVAILABLE,NONE,No supported official sector index mapping was assigned from current metadata.
ABB,INE117A01022,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ACC,INE012A01025,Construction Materials,,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,UNAVAILABLE,NONE,No supported official sector index mapping was assigned from current metadata.
ACMESOLAR,INE622W01025,Power,NIFTY_POWER,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AIAENG,INE212H01026,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
APLAPOLLO,INE702C01027,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AUBANK,INE949L01017,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AWL,INE699H01024,Fast Moving Consumer Goods,NIFTY_FMCG,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AADHARHFC,INE883F01010,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AARTIIND,INE769A01020,Chemicals,NIFTY_CHEMICALS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AAVAS,INE216P01012,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ABBOTINDIA,INE358A01014,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ACE,INE731H01025,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ACUTAAS,INE00FF01025,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ADANIENSOL,INE931S01010,Power,NIFTY_POWER,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ADANIENT,INE423A01024,Metals & Mining,NIFTY_METAL,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ADANIGREEN,INE364U01010,Power,NIFTY_POWER,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ADANIPORTS,INE742F01042,Services,,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,UNAVAILABLE,NONE,No supported official sector index mapping was assigned from current metadata.
ADANIPOWER,INE814H01029,Power,NIFTY_POWER,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ATGL,INE399L01023,Oil Gas & Consumable Fuels,NIFTY_OIL_AND_GAS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ABCAPITAL,INE674K01013,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ABFRL,INE647O01011,Consumer Services,NIFTY_CONSUMER_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ABLBL,INE14LE01019,Consumer Services,NIFTY_CONSUMER_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ABREL,INE055A01016,Realty,NIFTY_REALTY,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ABSLAMC,INE404A01024,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
CPPLUS,INE819V01029,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AEGISLOG,INE208C01025,Oil Gas & Consumable Fuels,NIFTY_OIL_AND_GAS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AEGISVOPAK,INE0INX01018,Oil Gas & Consumable Fuels,NIFTY_OIL_AND_GAS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AFCONS,INE101I01011,Construction,NIFTY_CONSTRUCTION,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AFFLE,INE00WC01027,Information Technology,NIFTY_IT,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AJANTPHARM,INE031B01049,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ALKEM,INE540L01014,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ABDL,INE552Z01027,Fast Moving Consumer Goods,NIFTY_FMCG,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ARE&M,INE885A01032,Automobile and Auto Components,NIFTY_AUTO,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AMBER,INE371P01015,Consumer Durables,NIFTY_CONSUMER_DURABLES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AMBUJACEM,INE079A01024,Construction Materials,,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,UNAVAILABLE,NONE,No supported official sector index mapping was assigned from current metadata.
ANANDRATHI,INE463V01026,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ANANTRAJ,INE242C01024,Realty,NIFTY_REALTY,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ANGELONE,INE732I01021,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ANTHEM,INE0CZ201020,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ANURAS,INE930P01018,Chemicals,NIFTY_CHEMICALS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
APARINDS,INE372A01015,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
APOLLOHOSP,INE437A01024,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
APOLLOTYRE,INE438A01022,Automobile and Auto Components,NIFTY_AUTO,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
APTUS,INE852O01025,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ASAHIINDIA,INE439A01020,Automobile and Auto Components,NIFTY_AUTO,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ASHOKLEY,INE208A01029,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ASIANPAINT,INE021A01026,Consumer Durables,NIFTY_CONSUMER_DURABLES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ASTERDM,INE914M01019,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ASTRAL,INE006I01046,Capital Goods,NIFTY_CAPITAL_GOODS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ATHERENERG,INE0LEZ01016,Automobile and Auto Components,NIFTY_AUTO,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
ATUL,INE100A01010,Chemicals,NIFTY_CHEMICALS,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AUROPHARMA,INE406A01037,Healthcare,NIFTY_HEALTHCARE_INDEX,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
AIIL,INE206F01022,Financial Services,NIFTY_FINANCIAL_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
DMART,INE192R01011,Consumer Services,NIFTY_CONSUMER_SERVICES,,,https://www.niftyindices.com/IndexConstituent/ind_nifty500list.csv,CURRENT_ONLY,CURRENT_OFFICIAL_SNAPSHOT_ONLY,Current official Nifty 500 industry metadata retained for diagnostics only; not projected backward for historical sector-relative features.
